genus	species	short_name	symbol	ncbi
Lamium	galeobdolon	Lamium galeobdolon	Lg	53161
Lampranthus	sociorum	Lampranthus sociorum	Ls2	188838
Lathyrus	odoratus	Lathyrus odoratus	Lo	3859
Lathyrus	tingitanus	Lathyrus tingitanus	Lt	3862
Lavandula	angustifolia	Lavandula angustifolia	Laa	39329
Lawsonia	inermis	Lawsonia inermis	Li	141191
Lecanora		Lecanora		39934
Lecanorales		Lecanorales		5197
Lemna	aequinoctialis	Lemna aequinoctialis	Lea	89585
Lemna	minor	Lemna minor	Lm	4472
Lens	culinaris	Lens culinaris	Lec	3864
Lepidium	sativum	Lepidium sativum	Les	33125
Leucaena	leucocephala	Leucaena leucocephala	Lel	3866
Lilium	longiflorum	Lilium longiflorum	Lil	4690
Limnanthes	alba	Limnanthes alba	Lia	42439
Limnanthes	douglasii	Limnanthes douglasii	Ld	28973
Limonium	latifolium	Limonium latifolium	Ll2	227291
Linaceae		Linaceae		4004
Linum		Linum		4005
Linum	flavum	Linum flavum	Lf	407263
Linum	nodiflorum	Linum nodiflorum	Ln	407264
Linum	perenne	Linum perenne	Lp	35941
Linum	usitatissimum	Linum usitatissimum	Lu	4006
Lithospermum	erythrorhizon	Lithospermum erythrorhizon	Le	34254
Loganiaceae		Loganiaceae		26468
Lotus	corniculatus	Lotus corniculatus	Loc	47247
Lotus	japonicus	Lotus japonicus	Lj	34305
Loxodonta	africana	Elephant	La	9785
Lunaria	annua	Lunaria annua	Lua	153659
Lupinus	albus	Lupinus albus	La2	3870
Lupinus	angustifolius	Lupinus angustifolius	La3	3871
Lupinus	luteus	Lupinus luteus	Lul	3873
Lupinus	polyphyllus	Lupinus polyphyllus	Lup	3874
Lupinus	termis	Lupinus termis	Lut	3869
Lycopersicon	hirsutum	Lycopersicon hirsutum	Lh	283673
Lygodium	circinatum	Lygodium circinatum	Lyc	84615
Macaca	mulatta	Rhesus Monkey	Ml	9544
Magnolia		Magnolia		3402
Magnolia	grandiflora	Magnolia grandiflora	Mg	3406
Magnolia	obovata	Magnolia obovata	Mo	349509
Magnoliaceae		Magnoliaceae		3401
Magnoliopsida		Magnoliopsida		3398
Malus	domestica	Malus domestica	Mad	3750
Malus	hupehensis	Malus hupehensis	Mh	106556
Malus	pumila	Malus pumila	Mp	283210
Malus	sp.	Malus sp.	Ms	3751
Malvaceae		Malvaceae		3629
Mammalia		Mammalia		40674
Manihot	esculenta	Manihot esculenta	Me	510188
Matthiola	incana	Matthiola incana	Mi	3724
Medicago	sativa	Medicago sativa	Mes	3879
Medicago	truncatula	Medicago truncatula	Mt	3880
Megathyrsus	maximus	Megathyrsus maximus	Mem	59788
Melilotus	albus	Melilotus albus	Ma	47082
Menispermaceae		Menispermaceae		3455
Mentha	aquatica	Mentha aquatica	Mea	650269
Mentha	spicata	Mentha spicata	Ms2	29719
Mentha	x	Mentha x gracilis	Mex	241069
Mentha	x	Mentha x piperita	Mx2	34256
Mesembryanthemum	crystallinum	Mesembryanthemum crystallinum	Mc	3544
Metazoa		Metazoa		33208
Methanobacteria		Methanobacteria		183925
Methanocaldococcus	jannaschii	Methanocaldococcus jannaschii	Mj	2190
Methanosarcina	mazei	Methanosarcina mazei	Mm2	2209
Methanosarcina	thermophila	Methanosarcina thermophila	Met	2210
Methanothermobacter	marburgensis	Methanothermobacter marburgensis	Mm3	79929
Methyloceanibacter	caenitepidi	Methyloceanibacter caenitepidi	Mec	1384459
Methylococcus	capsulatus	Methylococcus capsulatus	Mc2	414
Methylorubrum	extorquens	Methylorubrum extorquens	Mee	408
Methylosphaera	hansonii	Methylosphaera hansonii	Meh	51353
Micrococcus	luteus	Micrococcus luteus	Mil	1270
Mirabilis	jalapa	Mirabilis jalapa	Mij	3538
Momordica	charantia	Momordica charantia	Moc	3673
Monodelphis	domestica	Opossum	Md	13616
Mus	musculus	Mouse	Mm	10090
Mus	musculus	Mus musculus	Mum	10090
Musa	acuminata	Musa acuminata	Mua	4641
Musaceae		Musaceae		4637
Mycobacterium	avium	Mycobacterium avium complex (MAC)	Mya	120793
Mycobacterium	kansasii	Mycobacterium kansasii	Mk	1768
Mycobacterium	tuberculosis	Mtuberculosis	Mx	1773
Mycobacterium	tuberculosis	Mycobacterium tuberculosis	Myt	83332
Mycolicibacterium	fortuitum	Mycolicibacterium fortuitum	Mf	1766
Mycolicibacterium	phlei	Mycolicibacterium phlei	Myp	1771
Mycoplasmoides	pneumoniae	Mycoplasmoides pneumoniae	Mp2	272634
Myxococcales		Myxococcales		29
Nannocystis	exedens	Nannocystis exedens	Ne	54
Narcissus	aff.	Narcissus aff. pseudonarcissus MK-2014	Na	1540222
Narcissus	pseudonarcissus	Narcissus pseudonarcissus	Np	39639
Nepenthaceae		Nepenthaceae		4374
Nepenthes	alata	Nepenthes alata	Nea	4376
Nepenthes	gracilis	Nepenthes gracilis	Ng	150966
Nepenthes	mirabilis	Nepenthes mirabilis	Nm	150983
Nepenthes	rafflesiana	Nepenthes rafflesiana	Nr	150990
Neptunia		Neptunia		138526
Nerine	bowdenii	Nerine bowdenii	Nb	59042
Neurospora	crassa	Neurospora crassa	Nc	5141
Nicotiana		Nicotiana		4085
Nicotiana	attenuata	Nicotiana attenuata	Nia	49451
Nicotiana	benthamiana	Nicotiana benthamiana	Nib	4100
Nicotiana	glutinosa	Nicotiana glutinosa	Nig	35889
Nicotiana	plumbaginifolia	Nicotiana plumbaginifolia	Nip	4092
Nicotiana	rustica	Nicotiana rustica	Nir	4093
Nicotiana	sylvestris	Nicotiana sylvestris	Ns	4096
Nicotiana	tabacum	Tabacco	Nt	4097
Nicotiana	tabacum	Nicotiana tabacum	Nit	4097
Nitrosopumilus	maritimus	Nitrosopumilus maritimus	Nim	338192
Nothapodytes	nimmoniana	Nothapodytes nimmoniana	Nn	159386
Nyctaginaceae		Nyctaginaceae		3536
Ocimum	basilicum	Ocimum basilicum	Ob	39350
Olea	europaea	Olea europaea	Oe	4146
Ophiorrhiza	japonica	Ophiorrhiza japonica	Oj	367363
Ophiorrhiza	pumila	Ophiorrhiza pumila	Op	157934
Opisthokonta		Opisthokonta		33154
Ornithorhynchus	anatinus	Platypus	Oa	9258
Orthoptera		Orthoptera		6993
Oryctolagus	cuniculus	Rabbit	Oc	9986
Oryza		Oryza		4527
Oryza	sativa	Japanese Rice	Os	4530
Oryza	sativa	Oryza sativa	Ors	4530
Oryzias	latipes	Medaka Fish	Ol	8090
Ostreococcus	sp.	Ostreococcus sp. lucimarinus	Oss	242159
Ovis	aries	sheep	Ova	9940
Oxybasis	rubra	Oxybasis rubra	Or	3560
Pan 	troglodytes	Chimp	Pt	9598
Panax		Panax		4053
Panax	ginseng	Panax ginseng	Pg	4054
Panax	notoginseng	Panax notoginseng	Pn	44586
Panicum	miliaceum	Panicum miliaceum	Pm	4540
Panicum	virgatum	Panicum virgatum	Pv	38727
Pantoea	agglomerans	Pantoea agglomerans	Pa	549
Pantoea	ananatis	Pantoea ananatis	Paa	553
Papaver	somniferum	Papaver somniferum	Ps	3469
Papaveraceae		Papaveraceae		3465
Passiflora	edulis	Passiflora edulis	Pae	78168
Paul's	Scarlet	Paul's Scarlet Climber Rose	Pas	74647
Paullinia	cupana	Guarana	Pc	392747
Peganum	harmala	Peganum harmala	Ph	43879
Pelargonium	crispum	Pelargonium crispum	Pec	4030
Pericallis	cruenta	Pericallis cruenta	Pc2	98709
Perilla	citriodora	Perilla citriodora	Pc3	121094
Perilla	frutescens	Beefsteak plant	Pe	48386
Perilla	frutescens	Perilla frutescens	Pef	48386
Persea	americana	Persea americana	Pea	3435
Persicaria	tinctoria	Persicaria tinctoria	Pet	96455
Petiveria	alliacea	Petiveria alliacea	Pa2	46142
Petroselinum	crispum	Petroselinum crispum	Pc4	4043
Petunia		Petunia		4101
Petunia	x	Petunia x hybrida	Px	4102
Phaeophyceae		Phaeophyceae		2870
Phaseolus	coccineus	Phaseolus coccineus	Phc	3886
Phaseolus	lunatus	Phaseolus lunatus	Pl	3884
Phaseolus	vulgaris	Phaseolus vulgaris	Phv	3885
Phlebodium	aureum	Phlebodium aureum	Pha	218620
Phleum	pratense	Phleum pratense	Php	15957
Phragmites	australis	Phragmites australis	Pa3	29695
Physaria		Physaria		98028
Physaria	fendleri	Physaria fendleri	Phf	63442
Physaria	kathryn	Physaria kathryn	Pk	98028
Physaria	lindheimeri	Physaria lindheimeri	Phl	439687
Physcomitrium	patens	Physcomitrium patens	Pp2	3218
Picea	abies	Picea abies	Pia	3329
Picea	glauca	Picea glauca	Pig	3330
Pimpinella		Pimpinella		40958
Pimpinella	anisum	Pimpinella anisum	Pa4	271192
Pinidae		Pinidae		3313
Pinus	banksiana	Pinus banksiana	Pb	3353
Pinus	contorta	Pinus contorta	Pic	3339
Pinus	densiflora	Pinus densiflora	Pd	77912
Pinus	ponderosa	Pinus ponderosa	Pip	55062
Pinus	sabiniana	Pinus sabiniana	Pis	268869
Pinus	strobus	Pinus strobus	Ps2	3348
Pinus	sylvestris	Pinus sylvestris	Ps3	3349
Pinus	taeda	Pinus taeda	Pit	3352
Piper	nigrum	Piper nigrum	Pin	13216
Piperaceae		Piperaceae		16739
Pisum	sativum	Pisum sativum	Ps4	3888
Planctomycetota		Planctomycetota		203682
Plantago	major	Plantago major	Plm	29818
Plasmodium	falciparum	Malaria parasite	Pf	5833
Plasmodium	falciparum	Plasmodium falciparum	Plf	5833
Plectranthus	barbatus	Plectranthus barbatus	Plb	41228
Plumbaginaceae		Plumbaginaceae		4437
Plumbago	europaea	Plumbago europaea	Ple	114226
Plumbago	indica	Plumbago indica	Pli	122308
Poaceae		Poaceae		4479
Poales		Poales		38820
Podophyllum	peltatum	Podophyllum peltatum	Pop	35933
Pogostemon	cablin	Pogostemon cablin	Poc	28511
Polaribacter	filamentus	Polaribacter filamentus	Pof	53483
Pontederiaceae		Pontederiaceae		16367
Populus		Populus		3689
Populus	alba	Populus alba	Poa	43335
Populus	deltoides	Populus deltoides	Pod	3696
Populus	nigra	Populus nigra	Pon	3691
Populus	tremula	Populus tremula x Populus alba	Pot	80863
Populus	tremula	Populus tremula x Populus tremuloides	Pt2	47664
Populus	trichocarpa	Western Balsam Poplar	Pi	3694
Populus	trichocarpa	Populus trichocarpa	Pt3	3694
Populus	trichocarpa	Populus trichocarpa x Populus deltoides	Pt4	3695
Portulaca	grandiflora	Portulaca grandiflora	Pog	3583
Prunus	dulcis	Prunus dulcis	Prd	3755
Prunus	mume	Prunus mume	Prm	102107
Prunus	serotina	Prunus serotina	Prs	23207
Prymnesium	parvum		Pp	97485
Pseudomonadota		Pseudomonadota		1224
Pseudomonas		Pseudomonas		286
Pseudomonas	aeruginosa	Pseudomonas aeruginosa	Psa	287
Pseudomonas	fluorescens	Pseudomonas fluorescens	Psf	294
Psilotum	nudum	Psilotum nudum	Psn	3240
Pteridaceae		Pteridaceae		13819
Pteris	vittata	Pteris vittata	Ptv	13821
Pueraria	montana	Pueraria montana	Pum	3893
Punica	granatum	Punica granatum	Pug	22663
Pyrus	pyrifolia	Pyrus pyrifolia	Pyp	3767
Quercus	robur	Quercus robur	Qr	38942
Quercus	rubra	Quercus rubra	Qur	3512
Ramalina		Ramalina		56479
Ranunculaceae		Ranunculaceae		3440
Ranunculales		Ranunculales		41768
Raphanus	sativus	Raphanus sativus	Rs	3726
Rattus	norvegicus	Rat	Rn	10116
Rattus	norvegicus	Rattus norvegicus	Ran	10116
Rauvolfia	serpentina	Rauvolfia serpentina	Ras	4060
Rheum	palmatum	Rheum palmatum	Rp	137221
Rheum	tataricum	Rheum tataricum	Rt	205071
Rhizobium	phaseoli	Rhizobium phaseoli	Rhp	396
Rhizophora	apiculata	Rhizophora apiculata	Ra	106626
Rhizophora	mangle	Rhizophora mangle	Rm	40031
Rhizophora	stylosa	Rhizophora stylosa	Rhs	98588
Rhizophoraceae		Rhizophoraceae		40029
Rhodiola	rosea	Rhodiola rosea	Rr	203015
Rhodiola	sachalinensis	Rhodiola sachalinensis	Rs2	265354
Rhodobacter	capsulatus	Rhodobacter capsulatus	Rc	272942
Rhodophyta		Rhodophyta		2763
Rhodotorula	glutinis	Rhodotorula glutinis	Rg	5535
Rhus	typhina	Rhus typhina	Rht	255348
Ricinus	communis	Ricinus communis	Ric	3988
Robinia	pseudoacacia	Robinia pseudoacacia	Rop	35938
Rosa		Rosa		3764
Rosa	chinensis	Rosa chinensis	Roc	74649
Rosa	hybrid	Rosa hybrid cultivar	Rh	128735
Rosaceae		Rosaceae		3745
Rosales		Rosales		3744
rosids		rosids		71275
Rosmarinus	officinalis	Rosemary	Ro	39367
Rubia	tinctorum	Rubia tinctorum	Rut	29802
Rubiaceae		Rubiaceae		24966
Rubus		Rubus		23216
Rubus	idaeus	Rubus idaeus	Ri	32247
Rudbeckia	hirta	Rudbeckia hirta	Ruh	52299
Ruta		Ruta		37564
Ruta	graveolens	Ruta graveolens	Rug	37565
Rutaceae		Rutaceae		23513
Saccharomyces	cerevisiae	Yeast	Sc	4932
Saccharomyces	cerevisiae	Saccharomyces cerevisiae	Sac	559292
Saccharopolyspora	spinosa	Saccharopolyspora spinosa	Sas	60894
Saccharum	officinarum	Saccharum officinarum	So	4547
Salmonella	enterica	Salmonella enterica	Se	99287
Salvia	fruticosa	Greek sage	Sf	268906
Salvia	fruticosa	Salvia fruticosa	Saf	268906
Salvia	officinalis	Salvia officinalis	Sao	38868
Salvia	rosmarinus	Salvia rosmarinus	Sr	39367
Salvia	splendens	Salvia splendens	Ss2	180675
Salvia	stenophylla	Salvia stenophylla	Ss3	202612
Sanguinaria	canadensis	Sanguinaria canadensis	Sc2	3472
Santalum		Santalum		35973
Santalum	album	Santalum album	Saa	35974
Santalum	austrocaledonicum	Santalum austrocaledonicum	Sa2	293154
Santalum	spicatum	Santalum spicatum	Ss4	453088
Sarcina	ventriculi	Sarcina ventriculi	Sv	1267
Saussurea	medusa	Saussurea medusa	Sam	137893
Saxifraga	stolonifera	Saxifraga stolonifera	Ss5	182070
Saxifragales		Saxifragales		41946
Schizonepeta	tenuifolia	Schizonepeta tenuifolia	Sct	135200
Schizosaccharomyces	pombe	Schizosaccharomyces pombe	Sp	4896
Scutellaria	baicalensis	Scutellaria baicalensis	Scb	65409
Scutellaria	viscidula	Scutellaria viscidula	Scv	512023
Secale	cereale	Secale cereale	Sec	4550
Selaginella	lepidophylla	Selaginella lepidophylla	Sel	59777
Senecio	vernalis	Senecio vernalis	Sev	93496
Senecio	vulgaris	Senecio vulgaris	Sv2	76276
Serratia	marcescens	Serratia marcescens	Sem	615
Sesamum	alatum	Sesamum alatum	Sea	300844
Sesamum	indicum	Sesamum indicum	Si	4182
Sesamum	radiatum	Sesamum radiatum	Ser	300843
Sesbania	rostrata	Sesbania rostrata	Sr2	3895
Setaria	italica	Setaria italica	Sei	4555
Silene	dioica	Silene dioica	Sd	39879
Silene	latifolia	Silene latifolia	Sil	52853
Simmondsia	chinensis	Simmondsia chinensis	Sic	3999
Sinningia	cardinalis	Sinningia cardinalis	Sc3	189007
Sinopodophyllum	hexandrum	Sinopodophyllum hexandrum	Sh	93608
Skeletonema	marinoi		Sm	267567
Solanaceae		Solanaceae		4070
Solanum		Solanum		4107
Solanum	aculeatissimum	Solanum aculeatissimum	Soa	267265
Solanum	habrochaites	Solanum habrochaites	Soh	62890
Solanum	lycopersicum	Tomato	Sl	4081
Solanum	lycopersicum	Solanum lycopersicum	Sol	4081
Solanum	melongena	Solanum melongena	Som	4111
Solanum	pennellii	Solanum pennellii	Sop	28526
Solanum	tuberosum		St	4113
Solanum	tuberosum	Solanum tuberosum	Sot	4113
Solidago	canadensis	Solidago canadensis	Soc	59297
Sophora		Sophora		3896
Sophora	flavescens	Sophora flavescens	Sof	49840
Sorbus	aucuparia	Sorbus aucuparia	Sa3	36599
Sorex	araneus	Shrew	Sa	42254
Sorghum	bicolor	Sorghum	Sb	4558
Sorghum	bicolor	Sorghum bicolor	Sob	4558
Spartina		Spartina		15853
Spermatophyta		Spermatophyta		58024
Spinacia	oleracea	Spinacia oleracea	Spo	3562
Spirodela	polyrhiza	Spirodela polyrhiza	Spp	29656
Sporobolus	alterniflorus	Sporobolus alterniflorus	Spa	29706
Stellaria	media	Stellaria media	Stm	13274
Sterculia	foetida	Sterculia foetida	Stf	195802
Stevia	rebaudiana	Stevia rebaudiana	Str	55670
Stigmatella	aurantiaca	Stigmatella aurantiaca	Sta	41
Stramenopiles		Stramenopiles		33634
Streptococcus	mutans	Streptococcus mutans	Sm2	1309
Streptococcus	pneumoniae	Streptococcus pneumoniae	Stp	1313
Streptomyces	antibioticus	Streptomyces antibioticus	Sa4	1890
Streptomyces	griseus	Streptomyces griseus	Sg	1911
Streptophyta		Streptophyta		35493
Streptophytina		Streptophytina		131221
Strobilanthes	cusia	Strobilanthes cusia	Stc	222567
Sus	scrofa	Pig	Ss	9823
Synechocystis		Synechocystis		1142
Synechocystis	sp.	Synechocystis sp. PCC 6803	Sys	1148
Syntrophotalea	acetylenica	Syntrophotalea acetylenica	Sya	29542
Syzygium	aromaticum	Syzygium aromaticum	Sa5	219868
Tagetes	erecta	Tagetes erecta	Te	13708
Tagetes	patula	Tagetes patula	Tp	55843
Tanacetum	balsamita	Tanacetum balsamita	Tb	301877
Tanacetum	cinerariifolium	Tanacetum cinerariifolium	Tac	118510
Tanacetum	parthenium	Tanacetum parthenium	Tap	127999
Tanacetum	vulgare	Tanacetum vulgare	Tv	128002
Taxus	baccata	Taxus baccata	Tab	25629
Taxus	brevifolia	Taxus brevifolia	Tb2	46220
Taxus	chinensis	Taxus chinensis	Tc2	29808
Taxus	cuspidata	Taxus cuspidata	Tc3	99806
Tellima	grandiflora	Tellima grandiflora	Tg	29775
Tephrosia	vogelii	Tephrosia vogelii	Tev	47097
Tetradesmus	obliquus	Tetradesmus obliquus	To	3088
Tetraodon	nigroviridis	Pufferfish	Tn	99883
Tetraselmis		Tetraselmis		3164
Thalassiosira	pseudonana	Thalassiosira pseudonana	Thp	35128
Thalictrum	bulgaricum	Thalictrum bulgaricum	Thb	46968
Thalictrum	flavum	Thalictrum flavum	Tf	150095
Thalictrum	tuberosum	Thalictrum tuberosum	Tt	79802
Theaceae		Theaceae		27065
Theobroma		Theobroma		3640
Theobroma	cacao	Cocoa	Tc	3641
Theobroma	cacao	Theobroma cacao	Thc	3641
Theophrastaceae		Theophrastaceae		16667
Thermococcus	kodakarensis	Thermococcus kodakarensis	Tk	69014
Thermotoga	maritima	Thermotoga maritima	Tm	2336
Thuja	plicata	Thuja plicata	Tp2	3316
Thunbergia	alata	Thunbergia alata	Ta	32198
Toxicodendron	vernicifluum	Toxicodendron vernicifluum	Tov	4013
Tracheophyta		Tracheophyta		58023
Trichosanthes	kirilowii	Trichosanthes kirilowii	Trk	3677
Trifolium	incarnatum	Trifolium incarnatum	Ti	60916
Trifolium	pratense	Trifolium pratense	Trp	57577
Trifolium	repens	Trifolium repens	Tr	3899
Triglochin	maritima	Triglochin maritima	Trm	55501
Triticum		Triticum		4564
Triticum	aestivum	Triticum aestivum	Tra	4565
Triticum	spelta	Triticum spelta	Ts	58933
Triticum	urartu	Triticum urartu	Tu	4572
Ulva	curvata	Ulva curvata	Uc	135247
Ulva	intestinalis	Ulva intestinalis	Ui	3116
Ulva	lactuca	Ulva lactuca	Ul	63410
Urochloa	panicoides	Urochloa panicoides	Up	37563
Usnea		Usnea		86620
Vaccinium	myrtillus	Vaccinium myrtillus	Vm	180763
Vanilla	planifolia	Vanilla planifolia	Vp	51239
Vernicia	fordii	Vernicia fordii	Vf	73154
Vernonia	<eudicots>	Vernonia <eudicots>	V<	13753
Vibrio	cholerae	Vibrio cholerae	Vc	666
Vibrio	cholerae	Vibrio cholerae O1	Vic	686
Vibrio	cholerae	Vibrio cholerae non-O1	Vc2	66861
Vibrio	furnissii	Vibrio furnissii	Vif	29494
Viburnum	furcatum	Viburnum furcatum	Vf2	237940
Vicia	faba	Vicia faba	Vf3	3906
Vicia	sativa	Vicia sativa	Vs	3909
Vigna	aconitifolia	Vigna aconitifolia	Va	3918
Vigna	angularis	Vigna angularis	Via	3914
Vigna	radiata	Vigna radiata	Vr	3916
Vigna	unguiculata	Vigna unguiculata	Vu	3917
Viridiplantae		Viridiplantae		33090
Vitis	vinifera	Wine Grape	Vv	29760
Vitis	vinifera	Vitis vinifera	Viv	29760
Wachendorfia	thyrsiflora	Wachendorfia thyrsiflora	Wt	95970
Wollastonia	biflora	Wollastonia biflora	Wb	101473
Xanthomonas	arboricola	Xanthomonas arboricola	Xa	56448
Xanthomonas	axonopodis	Xanthomonas axonopodis	Xaa	53413
Xanthophyllomyces	dendrorhous	Xanthophyllomyces dendrorhous	Xd	5421
Xenopus	tropicalis	Xenopus	Xt	8364
Zea	luxurians	Zea luxurians	Zl	15945
Zea	mays	Maize	Zm	4577
Zea	mays	Zea mays	Zem	76912
Zingiber	officinale	Zingiber officinale	Zo	94328
Zingiber	zerumbet	Zingiber zerumbet	Zz	311405
Zingiberaceae		Zingiberaceae		4642
Zingiberales		Zingiberales		4618
Zymomonas	mobilis	Zymomonas mobilis	Zym	542
